"month","year","mtl","mhw","mlw","nhw","nlw","msl","dyear"
3,2007,NA,NA,NA,22,22,NA,2007.208
4,2007,-0.251,1.188,-1.689,58,58,-0.208,2007.292
5,2007,-0.134,1.283,-1.551,60,60,-0.094,2007.375
6,2007,-0.069,1.322,-1.459,58,58,-0.037,2007.458
7,2007,NA,NA,NA,47,48,NA,2007.542
8,2007,-0.149,1.302,-1.6,59,59,-0.104,2007.625
9,2007,-0.161,1.295,-1.617,58,58,-0.114,2007.708
10,2007,-0.071,1.375,-1.516,60,60,-0.025,2007.792
11,2007,-0.129,1.284,-1.542,58,58,-0.085,2007.875
12,2007,-0.054,1.353,-1.461,60,60,-0.004,2007.958
1,2008,0.045,1.443,-1.353,60,59,0.09,2008.042
2,2008,-0.067,1.36,-1.495,56,57,-0.024,2008.125
3,2008,-0.131,1.268,-1.531,60,59,-0.068,2008.208
4,2008,-0.107,1.317,-1.53,58,58,-0.06,2008.292
5,2008,-0.118,1.306,-1.542,60,60,-0.078,2008.375
6,2008,-0.124,1.307,-1.555,58,58,-0.079,2008.458
7,2008,-0.059,1.378,-1.497,57,57,-0.021,2008.542
8,2008,-0.043,1.417,-1.504,60,60,0.002,2008.625
9,2008,-0.087,1.361,-1.535,58,58,-0.036,2008.708
10,2008,-0.026,1.407,-1.459,59,60,0.021,2008.792
11,2008,-0.086,1.315,-1.487,58,58,-0.043,2008.875
12,2008,-0.115,1.285,-1.515,60,60,-0.073,2008.958
1,2009,0.023,1.463,-1.416,60,60,0.069,2009.042
2,2009,-0.167,1.273,-1.607,53,53,-0.11,2009.125
3,2009,-0.175,1.285,-1.635,60,60,-0.119,2009.208
4,2009,-0.116,1.294,-1.527,54,54,-0.074,2009.292
5,2009,-0.131,1.298,-1.56,60,60,-0.085,2009.375
6,2009,-0.1,1.33,-1.529,58,58,-0.058,2009.458
7,2009,-0.032,1.405,-1.47,56,55,0.016,2009.542
8,2009,-0.033,1.374,-1.44,60,60,0.016,2009.625
9,2009,-0.127,1.293,-1.547,58,58,-0.076,2009.708
10,2009,0.007,1.443,-1.429,60,60,0.054,2009.792
11,2009,0.137,1.569,-1.295,58,58,0.178,2009.875
12,2009,0.076,1.519,-1.367,60,60,0.114,2009.958
1,2010,-0.092,1.384,-1.567,59,60,-0.046,2010.042
2,2010,-0.015,1.435,-1.466,55,54,0.028,2010.125
3,2010,-0.113,1.399,-1.624,59,60,-0.054,2010.208
4,2010,-0.167,1.295,-1.629,58,58,-0.118,2010.292
5,2010,-0.188,1.245,-1.622,60,60,-0.145,2010.375
6,2010,-0.141,1.275,-1.558,58,58,-0.099,2010.458
7,2010,-0.07,1.365,-1.505,60,60,-0.024,2010.542
8,2010,-0.095,1.346,-1.535,60,60,-0.048,2010.625
9,2010,-0.033,1.417,-1.484,58,58,0.018,2010.708
10,2010,0.048,1.494,-1.399,60,60,0.102,2010.792
11,2010,0.041,1.498,-1.416,58,57,0.089,2010.875
12,2010,-0.069,1.382,-1.52,60,60,-0.015,2010.958
1,2011,-0.097,1.346,-1.54,60,60,-0.047,2011.042
2,2011,-0.024,1.461,-1.51,54,54,0.029,2011.125
3,2011,-0.213,1.25,-1.675,60,60,-0.163,2011.208
4,2011,-0.155,1.308,-1.617,58,58,-0.102,2011.292
5,2011,-0.101,1.343,-1.545,60,60,-0.05,2011.375
6,2011,-0.102,1.331,-1.535,58,58,-0.057,2011.458
7,2011,-0.112,1.345,-1.568,60,60,-0.069,2011.542
8,2011,-0.073,1.43,-1.577,59,60,-0.019,2011.625
9,2011,0.011,1.519,-1.497,58,58,0.067,2011.708
10,2011,0.009,1.522,-1.503,58,58,0.066,2011.792
11,2011,0.082,1.546,-1.381,58,58,0.13,2011.875
12,2011,-0.016,1.428,-1.46,60,60,0.033,2011.958
1,2012,-0.124,1.31,-1.558,60,60,-0.07,2012.042
